"regionrus","excess10","excess","regionkz","dustkz","lowconsentration","maxconsentration","excesslc","excessmc","excess5","dustrus"
"СКФМ Боровое","","","Бурабай КФМС","Озон (жербеті)","0.005","0.02","0.18","0.15","","Озон (приземный)"
"Щучинско-Боровская курортная зона (ЩБКЗ)","","","Щучинск-Бурабай курорттық аймағының (ЩБКА)","РМ-10 қалқыма бөлшектері","0.04","0.24","0.67","0.81","","Взвешенные частицы РМ-10"
"Щучинско-Боровская курортная зона (ЩБКЗ)","","","Щучинск-Бурабай курорттық аймағының (ЩБКА)","Озон (жербеті)","0.02","0.08","0.6","0.49","","Озон (приземный)"
"Актобе","","","Ақтөбе қаласы","РМ-2,5 қалқымабөлшектері","0.0134","0.1411","0.3836","0.8819","","Взвешанные частицы РМ-2,5"
"Актобе","","161","Ақтөбе қаласы","Азот диоксиді","0.0387","0.792","0.9687","3.96","","Диоксид азота"
"Актобе","","","Ақтөбе қаласы","Хром","0.0003","0.0006","0.2316","","","Хром"
"Алматы","","276","Алматы қаласы","Азот оксиді","0.036","0.688","0.6","1.7","","Оксид азота"
"Талдыкорган","","","Талдықорған қаласы","Күкіртдиоксиді","0.02","0.13","0.4","0.3","","Диоксид серы"
"Талдыкорган","","","Талдықорған қаласы","Аммиак","0","0.01","0.04","0.1","","Аммиак"

